id,name,smiles,mw,logp
Halo_Gen1_0036,Adamantane-2-Methyl-Hedione-Core,C1C2CC3CC1CC(C2)C3CC1CC(=O)C(C1)CC(=O)OC,304.43,3.6072000000000024
Halo_Gen1_0037,Adamantane-2-Methyl-Jasmone-Core,C1C2CC3CC1CC(C2)C3CC1CC(=O)C(C1)CC=CC,286.45899999999995,5.010300000000005
Halo_Gen1_0038,Adamantane-2-Methyl-Lactone-Head,C1C2CC3CC1CC(C2)C3CC1CC2(CCC1)OCC(=O)O2,304.43,3.908700000000003
Halo_Gen1_0039,Adamantane-2-Methyl-Cyclohexanone,C1C2CC3CC1CC(C2)C3CC1CCCCC1=O,246.39399999999992,4.2081000000000035
Halo_Gen1_0040,Adamantane-2-Ethyl-Hedione-Core,C1C2CC3CC1CC(C2)C3CCC1CC(=O)C(C1)CC(=O)OC,318.45700000000005,3.9973000000000036
Halo_Gen1_0041,Adamantane-2-Ethyl-Jasmone-Core,C1C2CC3CC1CC(C2)C3CCC1CC(=O)C(C1)CC=CC,300.486,5.400400000000006
Halo_Gen1_0042,Adamantane-2-Ethyl-Lactone-Head,C1C2CC3CC1CC(C2)C3CCC1CC2(CCC1)OCC(=O)O2,318.45700000000005,4.2988000000000035
Halo_Gen1_0043,Adamantane-2-Ethyl-Cyclohexanone,C1C2CC3CC1CC(C2)C3CCC1CCCCC1=O,260.42099999999994,4.598200000000004
Halo_Gen1_0044,Adamantane-2-Propyl-Hedione-Core,C1C2CC3CC1CC(C2)C3CCCC1CC(=O)C(C1)CC(=O)OC,332.4840000000001,4.387400000000004
Halo_Gen1_0045,Adamantane-2-Propyl-Jasmone-Core,C1C2CC3CC1CC(C2)C3CCCC1CC(=O)C(C1)CC=CC,314.51300000000003,5.790500000000006
Halo_Gen1_0046,Adamantane-2-Propyl-Lactone-Head,C1C2CC3CC1CC(C2)C3CCCC1CC2(CCC1)OCC(=O)O2,332.4840000000001,4.688900000000004
Halo_Gen1_0047,Adamantane-2-Propyl-Cyclohexanone,C1C2CC3CC1CC(C2)C3CCCC1CCCCC1=O,274.4479999999999,4.988300000000005
Halo_Gen1_0048,Adamantane-2-Ether-Hedione-Core,C1C2CC3CC1CC(C2)C3OC1CC(=O)C(C1)CC(=O)OC,306.40200000000004,2.738500000000001
Halo_Gen1_0049,Adamantane-2-Ether-Jasmone-Core,C1C2CC3CC1CC(C2)C3OC1CC(=O)C(C1)CC=CC,288.431,4.141600000000004
Halo_Gen1_0050,Adamantane-2-Ether-Lactone-Head,C1C2CC3CC1CC(C2)C3OC1CC2(CCC1)OCC(=O)O2,306.40200000000004,3.040000000000002
Halo_Gen1_0051,Adamantane-2-Ether-Cyclohexanone,C1C2CC3CC1CC(C2)C3OC1CCCCC1=O,248.36599999999993,3.339400000000002
Halo_Gen1_0052,Adamantane-2-ThioEther-Hedione-Core,C1C2CC3CC1CC(C2)C3SC1CC(=O)C(C1)CC(=O)OC,322.4700000000001,3.4551000000000025
Halo_Gen1_0053,Adamantane-2-ThioEther-Jasmone-Core,C1C2CC3CC1CC(C2)C3SC1CC(=O)C(C1)CC=CC,304.499,4.858200000000005
Halo_Gen1_0054,Adamantane-2-ThioEther-Lactone-Head,C1C2CC3CC1CC(C2)C3SC1CC2(CCC1)OCC(=O)O2,322.4700000000001,3.7566000000000033
Halo_Gen1_0055,Adamantane-2-ThioEther-Cyclohexanone,C1C2CC3CC1CC(C2)C3SC1CCCCC1=O,264.43399999999997,4.056000000000004
Halo_Gen1_0056,Adamantane-2-Amide-Hedione-Core,C1C2CC3CC1CC(C2)C3NC(=O)C1CC(=O)C(C1)CC(=O)OC,333.42800000000017,2.0857
Halo_Gen1_0057,Adamantane-2-Amide-Jasmone-Core,C1C2CC3CC1CC(C2)C3NC(=O)C1CC(=O)C(C1)CC=CC,315.4570000000001,3.488800000000002
Halo_Gen1_0058,Adamantane-2-Amide-Lactone-Head,C1C2CC3CC1CC(C2)C3NC(=O)C1CC2(CCC1)OCC(=O)O2,333.4280000000001,2.387200000000001
Halo_Gen1_0059,Adamantane-2-Amide-Cyclohexanone,C1C2CC3CC1CC(C2)C3NC(=O)C1CCCCC1=O,275.392,2.686600000000001
Halo_Gen1_0060,Adamantane-2-ReverseAmide-Hedione-Core,C1C2CC3CC1CC(C2)C3C(=O)NC1CC(=O)C(C1)CC(=O)OC,333.42800000000017,2.0857
Halo_Gen1_0061,Adamantane-2-ReverseAmide-Jasmone-Core,C1C2CC3CC1CC(C2)C3C(=O)NC1CC(=O)C(C1)CC=CC,315.4570000000001,3.488800000000002
Halo_Gen1_0062,Adamantane-2-ReverseAmide-Lactone-Head,C1C2CC3CC1CC(C2)C3C(=O)NC1CC2(CCC1)OCC(=O)O2,333.4280000000001,2.387200000000001
Halo_Gen1_0063,Adamantane-2-ReverseAmide-Cyclohexanone,C1C2CC3CC1CC(C2)C3C(=O)NC1CCCCC1=O,275.392,2.686600000000001
Halo_Gen1_0064,Memantine-Core-Direct-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2C1CC(=O)C(C1)CC(=O)OC,318.4570000000001,3.9973000000000036
Halo_Gen1_0065,Memantine-Core-Direct-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2C1CC(=O)C(C1)CC=CC,300.48600000000005,5.400400000000006
Halo_Gen1_0066,Memantine-Core-Direct-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2C1CC2(CCC1)OCC(=O)O2,318.4570000000001,4.2988000000000035
Halo_Gen1_0067,Memantine-Core-Direct-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2C1CCCCC1=O,260.421,4.598200000000004
Halo_Gen1_0068,Memantine-Core-Methyl-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2CC1CC(=O)C(C1)CC(=O)OC,332.48400000000015,4.387400000000004
Halo_Gen1_0069,Memantine-Core-Methyl-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2CC1CC(=O)C(C1)CC=CC,314.5130000000001,5.790500000000006
Halo_Gen1_0070,Memantine-Core-Methyl-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2CC1CC2(CCC1)OCC(=O)O2,332.48400000000015,4.688900000000004
Halo_Gen1_0071,Memantine-Core-Methyl-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2CC1CCCCC1=O,274.448,4.988300000000005
Halo_Gen1_0072,Memantine-Core-Ethyl-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2CCC1CC(=O)C(C1)CC(=O)OC,346.51100000000014,4.777500000000004
Halo_Gen1_0073,Memantine-Core-Ethyl-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2CCC1CC(=O)C(C1)CC=CC,328.5400000000001,6.180600000000007
Halo_Gen1_0074,Memantine-Core-Ethyl-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2CCC1CC2(CCC1)OCC(=O)O2,346.5110000000002,5.079000000000005
Halo_Gen1_0075,Memantine-Core-Ethyl-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2CCC1CCCCC1=O,288.475,5.378400000000005
Halo_Gen1_0076,Memantine-Core-Propyl-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2CCCC1CC(=O)C(C1)CC(=O)OC,360.5380000000002,5.167600000000005
Halo_Gen1_0077,Memantine-Core-Propyl-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2CCCC1CC(=O)C(C1)CC=CC,342.5670000000001,6.5707000000000075
Halo_Gen1_0078,Memantine-Core-Propyl-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2CCCC1CC2(CCC1)OCC(=O)O2,360.53800000000024,5.469100000000005
Halo_Gen1_0079,Memantine-Core-Propyl-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2CCCC1CCCCC1=O,302.50200000000007,5.768500000000006
Halo_Gen1_0080,Memantine-Core-Ether-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2OC1CC(=O)C(C1)CC(=O)OC,334.4560000000002,3.5187000000000026
Halo_Gen1_0081,Memantine-Core-Ether-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2OC1CC(=O)C(C1)CC=CC,316.4850000000001,4.921800000000005
